﻿# EmojBuffModScanner catalog
# Mod: SpiritReforged
# Scanned: 2026-05-20T08:28:03.4504176Z
# Source: C:\Users\14451\Documents\My Games\Terraria\tModLoader\ModSources\EvenMoreOverpoweredJourney\Data\BuffModSupport\decompiled_cache\SpiritReforged\decompiled_cs
StableKey	ClassName	File	SuggestedPhase	Confidence	StatSignals	VisualSignals	EntitySignals	Note
SpiritReforged/AutoloadedBuff	AutoloadedBuff	SpiritReforged.Common.BuffCommon/AutoloadedBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/BottleMountBuff	BottleMountBuff	SpiritReforged.Content.Ocean.Items.MessageBottle/BottleMountBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/DoubleJumpPotionBuff	DoubleJumpPotionBuff	SpiritReforged.Content.Forest.Cloud.Items/DoubleJumpPotionBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/EmpoweredSwim	EmpoweredSwim	SpiritReforged.Content.Ocean.Items.Reefhunter.Buffs/EmpoweredSwim.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/EnlilBuff	EnlilBuff	SpiritReforged.Content.Ziggurat.Tiles/EnlilStatue.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/ExplorerMine	ExplorerMine	SpiritReforged.Content.Underground.WayfarerSet/ExplorerMine.cs	Stat	Medium	player\.pickSpeed\s*[\+\-\*\/]?=			
SpiritReforged/ExplorerPot	ExplorerPot	SpiritReforged.Content.Underground.WayfarerSet/ExplorerPot.cs	Stat	Medium	player\.moveSpeed\s*[\+\-\*\/]?=			
SpiritReforged/ExplorerSpeed	ExplorerSpeed	SpiritReforged.Content.Underground.Items.ExplorerTreads/ExplorerSpeed.cs	Stat	Medium	player\.maxRunSpeed\s*[\+\-\*\/]?=			
SpiritReforged/FlightPotionBuff	FlightPotionBuff	SpiritReforged.Content.Forest.Cloud.Items/FlightPotionBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/Frozen	Frozen	SpiritReforged.Content.Snow.Frostbite/Frozen.cs	CombatVisual	Medium		Projectile\.NewProjectile|NewProjectile\s*\(		
SpiritReforged/GildedScarabBuff	GildedScarabBuff	SpiritReforged.Content.Ziggurat.Scarab/GildedScarabBuff.cs	Stat	Medium	player\.stat\w+\s*[\+\-\*\/]?=			
SpiritReforged/Impaled	Impaled	SpiritReforged.Content.Jungle.Bamboo.Buffs/Impaled.cs	Mixed	Low	player\.lifeRegen\s*[\+\-\*\/]?=	Dust\.NewDust		同时含属性与特效/实体信号，需人工确认
SpiritReforged/JinxMark	JinxMark	SpiritReforged.Content.Forest.JinxBow/JinxMark.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/KoiTotemBuff	KoiTotemBuff	SpiritReforged.Content.Ocean.Items.KoiTotem/KoiTotemBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/MantarayBuff	MantarayBuff	SpiritReforged.Content.Ocean.Items.Lifesaver/MantarayBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/OpenWounds	OpenWounds	SpiritReforged.Content.Forest.RoguesCrest/OpenWounds.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/PoolNoodleBubbleBuff	PoolNoodleBubbleBuff	SpiritReforged.Content.Ocean.Items.PoolNoodle/PoolNoodleBubbleBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/RemedyPotionBuff	RemedyPotionBuff	SpiritReforged.Content.Forest.Misc/RemedyPotionBuff.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/ScarabMountBuff	ScarabMountBuff	SpiritReforged.Content.Desert.ScarabBoss.Items/ScarabMountItem.cs	Unknown	Low				未检测到常见 stat/visual 模式
SpiritReforged/Slowed	Slowed	SpiritReforged.Content.Desert/Slowed.cs	Unknown	Low				未检测到常见 stat/visual 模式
